team,game,game_week,total_ck_for,xg,shots_from_ck
PS Barito Putera,Semen Padang FC - PS Barito Putera,5,4,0,0
PS Barito Putera,PS Barito Putera - Borneo FC Samarinda,6,7,0.205060323757902,2
PS Barito Putera,Bali United FC - PS Barito Putera,7,5,0.0887381794609924,3
PS Barito Putera,PS Barito Putera - PSS Sleman,8,8,0,0
PS Barito Putera,Malut United FC - PS Barito Putera,9,5,0.139405536641749,2
PS Barito Putera,PS Barito Putera - AREMA FC,10,5,0.0826018916713609,1
PS Barito Putera,PS Barito Putera - PERSITA Tangerang,11,13,0,0
PS Barito Putera,PERSIS Solo - PS Barito Putera,12,1,0,0
PS Barito Putera,PS Barito Putera - PSBS Biak,13,3,0.135508443924364,2
PS Barito Putera,Dewa United FC - PS Barito Putera,14,8,0.524092423471408,3
PS Barito Putera,PS Barito Putera - PERSIB Bandung,15,3,0.0259055784329487,2
PS Barito Putera,PSM Makassar - PS Barito Putera,16,2,0,0
PS Barito Putera,PS Barito Putera - PSIS Semarang,17,7,0.113265880303868,1
PSBS Biak,PERSIB Bandung - PSBS Biak,1,4,0,0
PSBS Biak,PSBS Biak - PSM Makassar,2,5,0.0580247314772129,1
PSBS Biak,PSIS Semarang - PSBS Biak,3,6,0.0464245969070464,2
PSBS Biak,PSBS Biak - PERSIJA Jakarta,4,6,0.105183672102434,2
PSBS Biak,PSBS Biak - Madura United FC,5,5,0,0
PSBS Biak,PSBS Biak - PERSEBAYA Surabaya,6,5,0,0
PSBS Biak,PERSIK Kediri - PSBS Biak,7,2,0,0
PSBS Biak,PSBS Biak - Semen Padang FC,8,5,1.1767648460669,3
PSBS Biak,Borneo FC Samarinda - PSBS Biak,9,8,0.0454105358779897,1
PSBS Biak,PSBS Biak - Bali United FC,10,6,0.0474087472020471,2
PSBS Biak,PSS Sleman - PSBS Biak,11,5,0.0331750060359168,2
PSBS Biak,PSBS Biak - Malut United FC,12,8,0.141594546745611,2
PSBS Biak,PS Barito Putera - PSBS Biak,13,2,0.079451912000077,1
PSBS Biak,PSBS Biak - PERSITA Tangerang,14,6,0,0
PSBS Biak,PERSIS Solo - PSBS Biak,15,6,0.133925390785013,2
PSBS Biak,AREMA FC - PSBS Biak,16,5,0,0
PSBS Biak,PSBS Biak - Dewa United FC,17,1,0,0
PSIS Semarang,PSIS Semarang - PERSITA Tangerang,1,12,0.457138116939439,1
PSIS Semarang,PERSIS Solo - PSIS Semarang,2,2,0.0905651144064723,2
PSIS Semarang,PSIS Semarang - PSBS Biak,3,3,0.0107406490126589,1
PSIS Semarang,Dewa United FC - PSIS Semarang,4,6,0.027347540791883,1
PSIS Semarang,PERSIB Bandung - PSIS Semarang,5,1,0,0
PSIS Semarang,PSM Makassar - PSIS Semarang,6,4,0,0
PSIS Semarang,PSIS Semarang - AREMA FC,7,1,0.00212593311192832,1
PSIS Semarang,PSIS Semarang - PERSIJA Jakarta,8,2,0,0
PSIS Semarang,Madura United FC - PSIS Semarang,9,2,0,0
PSIS Semarang,PSIS Semarang - PERSEBAYA Surabaya,10,5,0,0
PSIS Semarang,PERSIK Kediri - PSIS Semarang,11,1,0,0
PSIS Semarang,PSIS Semarang - Semen Padang FC,12,4,0,0
PSIS Semarang,Borneo FC Samarinda - PSIS Semarang,13,7,0,0
PSIS Semarang,PSIS Semarang - Bali United FC,14,12,0.13086104600748,3
PSIS Semarang,PSS Sleman - PSIS Semarang,15,6,0,0
PSIS Semarang,PSIS Semarang - Malut United FC,16,5,0,0
PSIS Semarang,PS Barito Putera - PSIS Semarang,17,3,0,0
PSM Makassar,PSM Makassar - PERSIS Solo,1,10,0.0762061857941462,2
PSM Makassar,PSBS Biak - PSM Makassar,2,3,0.0446546747629033,1
PSM Makassar,PSM Makassar - Dewa United FC,3,3,0.188402096900388,3
PSM Makassar,PSM Makassar - PERSIB Bandung,4,4,0,0
PSM Makassar,PSM Makassar - AREMA FC,5,3,0,0
PSM Makassar,PSM Makassar - PSIS Semarang,6,10,0.00366258724944513,1
PSM Makassar,PERSIJA Jakarta - PSM Makassar,7,4,0.166196976843721,2
PSM Makassar,PSM Makassar - Madura United FC,8,2,0.0770487590240034,1
PSM Makassar,PERSEBAYA Surabaya - PSM Makassar,9,4,0.13903597366596,2
PSM Makassar,PSM Makassar - PERSIK Kediri,10,7,0.0130559494718231,1
PSM Makassar,Semen Padang FC - PSM Makassar,11,10,0.188469307102708,2
PSM Makassar,PSM Makassar - Borneo FC Samarinda,12,5,0.198255930934322,2
PSM Makassar,Bali United FC - PSM Makassar,13,5,0.335741059607959,2
PSM Makassar,PSM Makassar - PSS Sleman,14,5,0.131516996471534,1
PSM Makassar,Malut United FC - PSM Makassar,15,4,0,0
PSM Makassar,PSM Makassar - PS Barito Putera,16,3,2.56902875315692,6
PSM Makassar,PERSITA Tangerang - PSM Makassar,17,12,0.0706096470741349,1
PSS Sleman,PERSEBAYA Surabaya - PSS Sleman,1,2,0.0852086326949794,1
PSS Sleman,PSS Sleman - PERSIK Kediri,2,5,0.0553605737032683,1
PSS Sleman,Semen Padang FC - PSS Sleman,3,5,0.171367700493991,2
PSS Sleman,PSS Sleman - Borneo FC Samarinda,4,1,0,0
PSS Sleman,Bali United FC - PSS Sleman,5,4,0.229004207190288,1
PSS Sleman,PSS Sleman - AREMA FC,6,3,0,0
PSS Sleman,PSS Sleman - Malut United FC,7,5,0.17914640143734,2
PSS Sleman,PS Barito Putera - PSS Sleman,8,1,0,0
PSS Sleman,PSS Sleman - PERSITA Tangerang,9,12,0.253217043040993,4
PSS Sleman,PERSIS Solo - PSS Sleman,10,3,0.0539232236979795,1
PSS Sleman,PSS Sleman - PSBS Biak,11,6,0,0
PSS Sleman,Dewa United FC - PSS Sleman,12,10,0,0
PSS Sleman,PSS Sleman - PERSIB Bandung,13,6,0,0
PSS Sleman,PSM Makassar - PSS Sleman,14,13,0.379043877015054,2
PSS Sleman,PSS Sleman - PSIS Semarang,15,8,0.425170744160125,5
PSS Sleman,PERSIJA Jakarta - PSS Sleman,16,4,0.0384762619576893,1
PSS Sleman,PSS Sleman - Madura United FC,17,1,0.0253008656462775,1
Semen Padang FC,Semen Padang FC - Borneo FC Samarinda,1,2,0,0
Semen Padang FC,Bali United FC - Semen Padang FC,2,0,0,0
Semen Padang FC,Semen Padang FC - PSS Sleman,3,3,0,0
Semen Padang FC,Malut United FC - Semen Padang FC,4,3,0.0651437651556744,1
Semen Padang FC,Semen Padang FC - PS Barito Putera,5,2,0,0
Semen Padang FC,PERSITA Tangerang - Semen Padang FC,6,6,0.072803981364803,1
Semen Padang FC,Semen Padang FC - PERSIS Solo,7,8,0.0736413260445598,3
Semen Padang FC,PSBS Biak - Semen Padang FC,8,3,0,0
Semen Padang FC,Semen Padang FC - Dewa United FC,9,3,0.0759365567413083,1
Semen Padang FC,PERSIB Bandung - Semen Padang FC,10,1,0.0837489550363815,1
Semen Padang FC,Semen Padang FC - PSM Makassar,11,2,0,0
Semen Padang FC,PSIS Semarang - Semen Padang FC,12,6,0.0476627281540184,2
Semen Padang FC,Semen Padang FC - PERSIJA Jakarta,13,6,0.239385285237621,2
Semen Padang FC,Madura United FC - Semen Padang FC,14,4,0.0834560908234601,1
Semen Padang FC,Semen Padang FC - PERSEBAYA Surabaya,15,7,0,0
Semen Padang FC,PERSIK Kediri - Semen Padang FC,16,2,0.0454105358779897,1
Semen Padang FC,Semen Padang FC - AREMA FC,17,9,0.14726145168001,2
